start,end,alertname,namespace,severity,silenced,labels
7791,13621,KubeNodeUnreachable_001,openshift-monitoring,warning,false,{"component": "etcd"}
7434,12671,KubeNodeNotReady_002,openshift-storage,critical,false,{"component": "monitoring"}
1738,18654,KubePodCrashLooping_003,openshift-logging,critical,false,{"component": "storage"}
1524,20019,ThanosQueryDown_004,openshift-etcd,critical,false,{"component": "Others"}
1923,18016,KubeNodeNotReady_005,openshift-logging,info,false,{"component": "network"}
1309,19658,KubePodCrashLooping_006,openshift-monitoring,info,false,{"component": "version"}
1449,19662,PrometheusDown_007,openshift-network,info,false,{"component": "storage"}
958,19475,KubeDeploymentReplicasMismatch_008,openshift-storage,critical,false,{"component": "compute"}
1682,18597,AlertmanagerDown_009,openshift-machine-api,warning,false,{"component": "etcd"}
6959,16519,HighMemoryUsage_010,openshift-machine-api,warning,false,{"component": "api-server"}
1693,19790,AlertmanagerDown_011,openshift-machine-api,warning,false,{"component": "version"}
2799,14348,HighCPUUsage_012,openshift-machine-api,warning,false,{"component": "monitoring"}
1917,19276,ThanosQueryDown_013,openshift-etcd,warning,false,{"component": "monitoring"}
868,18682,KubePodCrashLooping_014,openshift-network,critical,false,{"component": "Others"}
17,19188,ThanosQueryDown_015,openshift-monitoring,warning,false,{"component": "compute"}
862,19193,HighMemoryUsage_016,openshift-network,warning,false,{"component": "etcd"}
232,18233,EtcdMembersDown_017,openshift-storage,critical,false,{"component": "Others"}
708,19723,KubePodNotReady_018,openshift-kube-apiserver,info,false,{"component": "etcd"}
747,19284,KubeNodeNotReady_019,openshift-kube-apiserver,info,false,{"component": "compute"}
76,19563,KubeCPUOvercommit_020,openshift-machine-api,info,false,{"component": "network"}
1566,18597,KubeDeploymentReplicasMismatch_021,openshift-monitoring,critical,false,{"component": "compute"}
472,18197,APIServerErrorsHigh_022,openshift-machine-api,warning,false,{"component": "api-server"}
975,19547,ThanosQueryDown_023,openshift-etcd,warning,false,{"component": "api-server"}
1473,18723,APIServerLatency_024,openshift-operators,info,false,{"component": "version"}
5642,16725,CephClusterWarning_025,openshift-monitoring,critical,false,{"component": "api-server"}
700,18591,NetworkLatencyHigh_026,openshift-operators,warning,false,{"component": "network"}
326,18545,EtcdHighCommitDurations_027,openshift-operators,warning,false,{"component": "api-server"}
74,19235,PrometheusDown_028,openshift-logging,critical,false,{"component": "network"}
1762,19690,KubePodCrashLooping_029,openshift-operators,warning,false,{"component": "monitoring"}
6443,6720,ThanosQueryDown_030,openshift-logging,info,false,{"component": "version"}
1103,20061,KubePodCrashLooping_031,openshift-storage,critical,true,{"component": "monitoring"}
1847,19801,KubeNodeUnreachable_032,openshift-logging,warning,false,{"component": "etcd"}
4202,13627,KubePodNotReady_033,openshift-storage,warning,false,{"component": "storage"}
1172,19317,EtcdHighCommitDurations_034,openshift-operators,critical,false,{"component": "etcd"}
